RedFighter,BlueFighter,RedOdds,BlueOdds,Winner,TitleBout,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,RedEloCurrent,BlueEloCurrent,WeightClass_Bantamweight,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_FEMALE,Gender_MALE,BlueStance_Open Stance,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_Switch ,RedStance_Open Stance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,BetterRank_Blue,BetterRank_Red,BetterRank_neither
507,1970,0.006006006006006006,0.9914914914914914,1,True,5,0,3,0,25.625,0.388,0.625,4.375,0.484,3,2,20,0,0,0,4,0,2,0,6,0.04704704704704705,0.06806806806806806,0.09259259259259259,0,11,0,61.3333,0.531,0.6,4.2667,0.436,11,2,56,11,0,1,7,2,3,0,13,0.024024024024024024,0.1011011011011011,0.09109109109109109,30,32,0,-8,-8,-7,0,-36,-11,-2,-1,2.54,-2.54,-2,-35.7083,0.025,0.1083,0.9966975855418342,0.7910982917426724,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
962,66,0.2012012012012012,0.7992992992992993,1,True,5,0,2,0,45.7857,0.394,0.3571,1.2857,0.325,6,4,35,2,0,0,3,5,2,0,10,0.9854854854854855,0.9564564564564564,0.8898898898898899,1,0,0,62.0,0.574,0.5556,2.0,0.577,13,2,55,11,0,0,7,4,5,0,16,0.964964964964965,0.996996996996997,0.8868868868868869,31,31,1,2,-7,-6,-2,-20,-9,1,-3,2.54,-12.7,0,-16.2143,-0.1984,-0.7143,0.9964526044471932,0.9164028850076859,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1066,1157,0.17217217217217218,0.8253253253253253,0,True,5,0,9,0,2.68,0.53,0.4,1.25,0.36,9,2,45,3,0,1,7,2,1,0,11,0.8538538538538538,0.6886886886886887,0.6501501501501501,0,15,0,4.36,0.52,0.1,2.82,0.45,15,0,53,8,0,0,10,4,1,0,15,0.6821821821821821,0.8328328328328328,0.6441441441441442,35,30,0,-6,-6,-4,2,-8,-5,-2,0,5.08,-5.08,-5,-1.68,0.3,-1.57,0.9962763792612533,0.9979886893512893,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
1157,1066,0.9034034034034034,0.09409409409409408,1,True,5,1,0,0,4.36,0.52,0.1,2.82,0.45,15,1,58,8,0,0,10,4,1,0,15,0.6901901901901902,0.8408408408408409,0.6501501501501501,0,10,0,2.68,0.53,0.4,1.25,0.36,10,2,50,3,0,1,7,3,1,0,12,0.8543543543543544,0.6796796796796797,0.6441441441441442,31,35,1,-10,5,3,-1,8,5,1,0,-5.08,5.08,4,1.68,-0.3,1.57,0.9961677155320714,0.9981141655776199,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
69,310,0.04054054054054054,0.9504504504504505,1,True,5,0,1,0,3.93,0.41,0.6,0.7,0.44,3,5,34,1,0,0,1,4,2,0,7,0.21421421421421422,0.514014014014014,0.33983983983983984,0,10,0,6.16,0.56,0.2,1.78,0.37,10,0,33,8,0,1,6,3,0,0,10,0.14414414414414414,0.42342342342342343,0.33583583583583587,33,35,0,-9,-7,-3,5,1,-7,1,2,2.54,2.54,2,-2.23,0.4,-1.08,0.9958449056957812,0.940389014587818,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1881,1048,0.39789789789789787,0.6040606419948285,0,True,5,0,3,0,8.57,0.55,0.0,0.0,0.0,3,2,12,0,0,0,0,4,0,0,4,0.5915915915915916,0.3278278278278278,0.482982982982983,0,12,0,5.81,0.45,1.4,0.56,0.42,12,1,35,1,0,1,3,5,6,0,15,0.5865865865865866,0.8328328328328328,0.476976976976977,36,31,0,-9,-9,-11,-1,-23,-1,-1,-6,0.0,-15.24,5,2.76,-1.4,-0.56,0.9956229893603937,0.9452974174922508,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1325,989,0.23923923923923923,0.7602602602602602,1,True,5,1,0,0,56.4,0.411,0.3,1.2,0.238,7,2,39,10,0,0,6,2,0,0,8,0.21421421421421422,0.3278278278278278,0.33983983983983984,0,11,0,68.4118,0.432,0.4118,0.2353,0.176,11,3,43,2,0,1,4,7,2,0,14,0.5865865865865866,0.25475475475475473,0.476976976976977,25,31,-1,-11,-4,-6,1,-4,8,-5,-2,-10.16,2.54,-6,-12.0118,-0.1118,0.9647,0.9953024443910643,0.9563124164346266,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
775,834,0.05405405405405406,0.9409409409409409,1,True,5,0,2,0,4.49,0.5,0.0,0.42,0.46,3,5,30,0,0,0,2,6,0,0,8,0.5915915915915916,0.8913913913913913,0.7902902902902903,0,2,0,4.0,0.48,0.1,0.05,0.12,9,1,43,11,0,1,6,4,0,0,11,0.964964964964965,0.9724724724724725,0.7877877877877878,32,38,0,0,-6,-3,4,-13,-11,2,0,-12.7,-7.62,6,0.49,-0.1,0.37,0.9951545889803691,0.9097547493097584,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
566,1342,0.44094094094094094,0.5548763048763049,1,False,3,0,1,0,4.89,0.46,0.9,2.17,0.38,3,2,11,1,0,0,0,3,1,0,4,0.30180180180180183,0.4239239239239239,0.482982982982983,1,0,0,5.3,0.5,1.3,1.24,0.36,5,7,68,4,1,0,6,11,3,0,21,0.3993993993993994,0.511011011011011,0.476976976976977,33,36,-1,1,-2,-17,-5,-57,-3,-8,-2,-2.54,-2.54,3,-0.41,-0.4,0.93,0.9951244561236227,0.4514667605373252,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False
1157,183,0.22622622622622623,0.7247247247247247,0,True,5,0,9,0,4.39,0.43,0.2,2.28,0.39,9,3,54,0,0,1,10,2,1,0,14,0.5915915915915916,0.514014014014014,0.6501501501501501,0,12,0,2.68,0.53,0.4,1.25,0.36,12,2,60,3,1,1,8,3,1,0,14,0.8543543543543544,0.6796796796796797,0.6441441441441442,32,36,0,-3,-3,0,1,-6,-3,-1,0,-7.62,-5.08,4,1.71,-0.2,1.03,0.9951093411972122,0.9995556451187328,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False
