RedFighter,BlueFighter,Winner,TitleBout,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,RedEloCurrent,BlueEloCurrent,EloDiff,WeightClass_Bantamweight,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_FEMALE,Gender_MALE,BlueStance_Open Stance,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,RedStance_Open Stance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,BetterRank_Blue,BetterRank_Red,BetterRank_neither
1288,294,0,False,3,0,0,0,2.57,0.61,0.8,2.77,0.65,0,0,0,1,0,0,0,0,0,0,0,0.15415415415415415,0.2077077077077077,0.36936936936936937,0,1,0,2.62,0.45,1.3,2.02,0.31,4,2,21,6,0,0,3,0,3,0,6,0.15715715715715717,0.07507507507507508,0.23473473473473472,26,30,0,-1,-4,-6,-2,-21,-5,0,-3,0.0,7.620000000000003,4,-0.0500000000000002,-0.5,0.75,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
1475,1754,0,True,5,0,0,0,4.91,0.45,0.9,0.39,0.35,0,0,0,2,0,0,0,0,0,0,0,0.5980980980980981,0.8333333333333334,0.6551551551551551,0,0,0,3.05,0.44,1.1,5.32,0.62,0,0,0,0,0,0,0,0,0,0,0,0.5955955955955956,0.7667667667667668,0.4984984984984985,23,27,0,0,0,0,0,0,2,0,0,0.0,2.539999999999992,4,1.8600000000000003,-0.2,-4.930000000000001,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
454,829,0,False,3,0,1,0,3.17,0.4,0.4,1.16,0.38,2,5,28,0,0,1,1,4,0,0,6,0.40240240240240244,0.43743743743743746,0.36936936936936937,0,1,0,1.66,0.34,0.5,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,0.6891891891891893,0.5230230230230231,0.4984984984984985,25,25,0,0,1,5,4,22,0,4,0,-7.620000000000003,-2.539999999999992,0,1.51,-0.0999999999999999,1.16,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
50,348,0,False,3,0,0,0,3.11,0.45,0.8,3.27,0.42,0,0,0,5,0,0,0,0,0,0,0,0.8488488488488488,0.9264264264264264,0.7917917917917918,0,3,0,3.96,0.47,0.0,2.18,0.78,3,4,16,0,0,1,1,4,0,0,6,0.6891891891891893,0.5230230230230231,0.7922922922922923,29,26,0,-3,-3,-6,-4,-16,5,-4,0,5.0800000000000125,15.240000000000007,-3,-0.8500000000000001,0.8,1.09,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
907,1304,0,False,3,0,3,0,1.55,0.47,0.7,4.66,0.43,3,1,8,0,0,0,1,1,1,0,3,0.7817817817817818,0.6101101101101101,0.9679679679679679,0,4,0,2.46,0.41,0.0,1.32,0.71,4,0,10,0,0,1,2,1,0,0,4,0.6891891891891893,0.5230230230230231,0.93993993993994,31,34,0,-1,-1,-1,1,-2,0,0,1,2.5400000000000205,2.5400000000000205,3,-0.91,0.7,3.34,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
1649,563,0,True,5,0,0,0,4.19,0.42,0.0,1.27,0.28,0,0,0,0,0,0,0,0,0,0,0,0.7817817817817818,0.7667667667667668,0.7917917917917918,0,0,0,2.26,0.4,0.0,3.23,0.37,0,0,0,0,0,0,0,0,0,0,0,0.7782782782782782,0.43743743743743746,0.6541541541541542,29,25,0,0,0,0,0,0,0,0,0,0.0,10.159999999999997,-4,1.9300000000000008,0.0,-1.96,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True
1665,1762,0,False,3,0,1,1,2.93,0.41,0.2,1.21,0.68,1,0,4,0,0,0,0,1,0,0,1,0.9934934934934935,0.9554554554554555,0.9679679679679679,0,2,0,3.12,0.47,1.7,0.56,0.46,3,2,11,0,1,0,0,2,2,0,5,1.0,1.0,1.0,23,28,0,-1,-2,-4,-2,-7,0,-1,-2,-12.699999999999989,-12.700000000000015,5,-0.1899999999999999,-1.5,0.6499999999999999,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
1584,1632,0,False,3,1,0,0,1.56,0.2,0.0,1.5,0.33,1,1,6,0,0,0,1,0,0,0,1,0.40240240240240244,0.7667667667667668,0.5035035035035035,0,0,0,1.27,0.2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5955955955955956,0.43743743743743746,0.6541541541541542,24,28,1,0,1,1,1,6,0,0,0,-5.0800000000000125,10.159999999999997,4,0.29,0.0,1.5,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
949,650,0,False,3,1,0,1,3.43,0.34,0.1,1.05,0.57,1,4,17,0,0,1,0,1,0,0,2,0.7817817817817818,0.5255255255255256,0.23823823823823823,1,0,0,1.44,0.41,2.2,1.97,0.36,4,1,7,0,0,0,0,1,3,0,4,0.5955955955955956,0.6881881881881882,0.36536536536536535,22,29,0,0,-3,-2,3,10,0,0,-3,5.0800000000000125,-5.0800000000000125,7,1.99,-2.1,-0.92,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
1730,1640,0,False,3,0,1,0,2.04,0.34,1.9,2.46,0.33,3,2,14,0,0,0,1,0,5,0,6,0.49649649649649646,0.5255255255255256,0.5035035035035035,0,2,1,2.0,0.4,1.5,3.83,0.42,2,3,23,0,0,0,3,0,2,0,5,0.23923923923923923,0.3458458458458459,0.36536536536536535,26,31,0,-1,1,1,-1,-9,0,0,3,7.620000000000003,5.079999999999984,5,0.04,0.3999999999999999,-1.37,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
1201,195,0,False,3,1,0,0,2.93,0.45,0.8,2.4,0.45,5,1,17,9,0,0,1,1,3,0,5,0.40240240240240244,0.34534534534534533,0.6551551551551551,0,1,0,2.34,0.43,1.3,3.65,0.36,3,3,16,0,0,0,1,0,4,0,5,0.32682682682682684,0.7667667667667668,0.4984984984984985,29,27,1,-1,2,0,-2,1,9,1,-1,2.539999999999992,-12.699999999999989,-2,0.5900000000000003,-0.5,-1.25,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
1350,1562,0,False,3,1,0,0,3.75,0.42,0.4,1.77,0.47,1,1,4,1,0,0,0,0,1,0,1,0.6956956956956957,0.8333333333333334,0.6551551551551551,1,0,0,4.57,0.45,1.3,1.05,0.3,5,5,36,3,0,1,0,3,8,0,12,0.6891891891891893,0.8358358358358358,0.6541541541541542,26,21,0,0,-4,-11,-4,-32,-2,-3,-7,0.0,0.0,-5,-0.8200000000000003,-0.9,0.72,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True
1154,1451,0,False,3,0,0,0,2.99,0.4,1.9,0.82,0.33,0,0,0,0,0,0,0,0,0,0,0,0.0945945945945946,0.15565565565565564,0.0,0,0,0,1.57,0.54,0.0,3.91,1.0,0,0,0,0,0,0,0,0,0,0,0,0.05455455455455455,0.011511511511511512,0.0,35,25,0,0,0,0,0,0,0,0,0,2.539999999999992,12.700000000000015,-10,1.4200000000000002,1.9,-3.0900000000000003,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True
