RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Sage Northcutt,Cody Pfister,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,1.41,0.25,0.0,2.82,0.3,1,1,5,0,0,0,1,0,0,0,1,Orthodox,177.8,185.42,155,0,1,0,3.58,0.52,0.6,1.81,0.34,1,0,1,0,0,0,0,1,0,0,1,Orthodox,182.88,180.34,170,19,25,0,0,0,0,1,4,0,-1,0,-5.079999999999984,5.0800000000000125,6,-2.17,-0.6,1.0099999999999998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Elias Theodorou,Thiago Santos,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,2,0,3.72,0.48,0.1,0.88,0.33,2,2,7,1,0,0,0,3,0,0,3,Orthodox,187.96,193.04,205,0,3,0,4.19,0.42,0.0,1.27,0.28,3,0,7,1,0,0,1,2,0,0,3,Orthodox,185.42,190.5,185,27,31,0,-1,-1,0,2,0,0,1,0,2.539999999999992,2.539999999999992,4,-0.4700000000000002,0.1,-0.39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Tim Means,John Howard,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,2.15,0.5,0.4,2.7,0.49,4,6,35,0,0,4,1,2,0,0,7,Orthodox,170.18,182.88,170,1,0,0,5.04,0.49,0.2,1.14,0.4,4,4,24,0,0,1,2,2,1,0,6,Orthodox,187.96,190.5,170,31,32,-1,1,0,1,2,11,0,0,-1,-17.78,-7.620000000000003,1,-2.89,0.2,1.5600000000000005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Omari Akhmedov,Sergio Moraes,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,3,0,2.42,0.42,0.4,1.2,0.38,3,1,10,1,0,0,1,0,2,0,3,Orthodox,182.88,182.88,170,0,2,0,2.97,0.34,0.2,2.58,0.45,2,1,6,0,0,0,1,2,0,0,3,Orthodox,182.88,185.42,185,28,33,0,1,1,0,0,4,1,-2,2,0.0,-2.5400000000000205,5,-0.5500000000000003,0.2,-1.38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Aljamain Sterling,Johnny Eduardo,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,2,0,2.95,0.39,0.4,0.22,0.2,2,1,7,0,0,0,1,1,0,0,2,Orthodox,170.18,180.34,135,0,3,0,4.41,0.52,0.7,2.51,0.29,3,0,9,5,0,0,1,1,1,0,3,Orthodox,170.18,180.34,145,26,37,0,-1,-1,-1,1,-2,-5,0,-1,0.0,0.0,11,-1.46,-0.2999999999999999,-2.29,1,10.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,10.0,,,Red,,,,,,,,,,,
Santiago Ponzinibbio,Andreas Stahl,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,2.83,0.37,0.0,1.55,0.66,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,170,1,0,0,4.8,0.41,0.0,0.56,0.32,2,2,9,0,0,0,1,1,0,0,2,Orthodox,182.88,185.42,170,29,27,0,0,-2,-2,-1,-6,0,-1,0,-2.539999999999992,-5.0800000000000125,-2,-1.97,0.0,0.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Danny Roberts,Nathan Coy,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,2,0,0,3.88,0.52,0.0,3.17,0.47,1,2,6,0,0,0,0,1,0,0,1,Southpaw,177.8,175.26,170,0,0,0,3.18,0.39,0.2,0.24,0.09,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,187.96,170,28,37,2,0,1,1,2,6,0,1,0,-7.620000000000003,-12.700000000000015,9,0.6999999999999997,-0.2,2.93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Zubaira Tukhugov,Phillipe Nover,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,1.79,0.35,0.7,0.99,0.28,1,3,10,1,0,1,0,0,0,0,1,Orthodox,175.26,182.88,145,0,2,0,3.17,0.39,0.0,2.13,0.39,2,0,4,0,0,0,1,1,0,0,2,Orthodox,172.72,172.72,155,24,31,0,-1,-1,-1,3,6,1,-1,0,2.539999999999992,10.159999999999997,7,-1.38,0.7,-1.14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Kailin Curran,Emily Kagan,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,2.6,0.36,0.0,1.86,0.14,0,1,3,0,0,0,0,0,0,0,0,,160.02,160.02,115,2,0,0,3.89,0.43,0.6,2.0,0.57,0,2,6,0,0,0,0,0,0,0,0,Orthodox,162.56,165.1,115,24,34,-1,0,0,0,-1,-3,0,0,0,-2.539999999999992,-5.079999999999984,10,-1.29,-0.6,-0.1399999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Frankie Edgar,Chad Mendes,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,5,1,0,0,2.78,0.49,0.3,4.13,0.55,6,3,34,3,0,0,6,5,1,0,12,Orthodox,167.64,167.64,145,0,4,1,3.77,0.4,0.3,2.29,0.31,5,4,68,9,0,0,8,3,2,0,13,Orthodox,167.64,172.72,135,34,30,1,-4,1,-1,-1,-34,-6,2,-1,0.0,-5.079999999999984,-4,-0.9900000000000002,0.0,1.84,1,3.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,,,Red,,,,,,,,,,,
Artem Lobov,Ryan Hall,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Blue,True,Lightweight,MALE,5,0,0,0,2.38,0.5,2.2,0.22,0.09,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,145,0,0,0,3.52,0.41,0.0,0.39,0.25,0,0,0,0,0,0,0,0,0,0,0,Southpaw,175.26,165.1,145,29,30,0,0,0,0,0,0,0,0,0,2.5400000000000205,12.700000000000015,1,-1.14,2.2,-0.17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Edson Barboza,Tony Ferguson,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,6,0,4.91,0.45,0.9,0.39,0.35,6,1,19,3,0,1,2,3,3,0,9,Orthodox,180.34,193.04,170,0,1,0,4.11,0.44,0.1,0.45,0.5,4,3,30,0,1,1,3,5,0,0,10,Orthodox,180.34,190.5,145,29,31,0,5,2,-1,-2,-11,3,-2,3,0.0,2.539999999999992,2,0.7999999999999998,0.8,-0.06,1,7.0,6.0,,,,,,,,,6.0,,,,,,,,,,,,,7.0,,,,,Red,,,,,,,,,,,
Joe Lauzon,Evan Dunham,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,5.33,0.39,1.0,1.82,0.33,4,6,37,0,0,3,3,2,1,0,9,Southpaw,177.8,177.8,155,0,1,0,2.84,0.39,2.0,2.39,0.45,3,7,36,0,0,0,1,4,7,0,12,Orthodox,177.8,180.34,155,31,33,0,1,1,-3,-1,1,0,-2,-6,0.0,-2.539999999999992,2,2.49,-1.0,-0.5700000000000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Tatsuya Kawajiri,Jason Knight,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,0,0,2.95,0.33,1.7,1.31,0.31,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,145,0,1,0,2.04,0.44,1.1,3.63,0.48,6,6,45,2,0,0,9,4,6,0,19,Orthodox,170.18,175.26,145,37,23,0,-1,-6,-19,-6,-45,-2,-4,-6,7.620000000000003,5.0800000000000125,-14,0.91,0.5999999999999999,-2.32,1,,13.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Julian Erosa,Marcin Wrzosek,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,0,0,3.47,0.43,0.0,3.0,0.25,0,0,0,0,0,0,0,0,0,0,0,,175.26,175.26,155,0,0,0,6.18,0.48,0.8,1.69,0.48,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,187.96,145,26,28,0,0,0,0,0,0,0,0,0,-10.160000000000023,-12.700000000000015,2,-2.7099999999999995,-0.8,1.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Gabriel Gonzaga,Konstantin Erokhin,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,1,0,0,1.07,0.36,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,230,3,0,0,2.12,0.45,1.1,2.8,0.39,4,10,36,1,0,0,0,7,4,0,11,Orthodox,187.96,193.04,242,36,32,-2,0,-4,-11,-9,-33,-1,-7,-4,-7.620000000000003,-12.699999999999989,-4,-1.05,-1.1,-2.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Ryan LaFlare,Mike Pierce,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,2.62,0.42,0.2,3.08,0.42,4,4,37,0,0,1,4,4,1,0,10,Orthodox,172.72,180.34,170,1,0,0,2.89,0.4,0.2,2.13,0.44,4,1,17,0,0,0,4,0,0,0,4,Southpaw,185.42,187.96,170,32,35,0,0,0,6,3,20,0,4,1,-12.700000000000015,-7.620000000000003,3,-0.27,0.0,0.9500000000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Joby Sanchez,Geane Herrera,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,1,0,0,1.51,0.31,0.6,0.83,0.37,0,1,3,0,0,0,0,0,0,0,0,Orthodox,165.1,167.64,125,0,1,0,3.22,0.36,0.4,0.95,0.71,1,1,6,0,0,1,0,0,0,0,1,Orthodox,167.64,172.72,135,24,25,1,-1,-1,-1,0,-3,0,0,0,-2.5400000000000205,-5.079999999999984,1,-1.7100000000000002,0.1999999999999999,-0.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Chris Gruetzemacher,Abner Lloveras,,,,,2015-12-11,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,0,0,6.27,0.49,0.0,2.0,0.2,0,0,0,0,0,0,0,0,0,0,0,,180.34,180.34,155,0,1,0,6.18,0.57,0.0,0.21,0.5,1,0,1,0,0,0,0,1,0,0,1,Orthodox,172.72,172.72,155,29,33,0,-1,-1,-1,0,-1,0,-1,0,7.620000000000003,7.620000000000003,4,0.0899999999999998,0.0,1.79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Jose Aldo,Conor McGregor,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Blue,True,Featherweight,MALE,5,0,6,0,5.32,0.49,0.1,0.67,0.55,6,0,10,3,0,0,1,5,0,0,6,Southpaw,175.26,187.96,155,0,15,0,3.62,0.46,0.1,0.49,0.53,15,0,47,14,0,0,6,9,0,0,15,Orthodox,170.18,177.8,135,29,27,0,-9,-9,-9,0,-37,-11,-4,0,5.079999999999984,10.159999999999997,-2,1.7000000000000002,0.0,0.18,1,1.0,0.0,,,,,,,,,,0.0,,,1.0,,,,,,,,,,1.0,,,12.0,Red,,,,,,,,,,,
Chris Weidman,Luke Rockhold,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Blue,True,Middleweight,MALE,5,0,4,0,4.1,0.49,1.0,0.7,0.29,9,1,24,3,0,0,2,4,7,0,13,Southpaw,190.5,195.58,185,0,9,0,3.11,0.45,0.8,3.27,0.42,9,0,20,4,0,0,3,4,2,0,9,Orthodox,187.96,198.12,185,31,31,0,-5,0,4,1,4,-1,0,5,2.539999999999992,-2.539999999999992,0,0.9899999999999998,0.1999999999999999,-2.5700000000000003,1,1.0,0.0,,,,,,,0.0,,,,,,3.0,,,,,,,1.0,,,,,,,Red,,,,,,,,,,,
Jacare Souza,Yoel Romero,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,6,0,3.44,0.49,0.0,1.57,0.3,6,1,18,2,0,0,1,5,0,0,6,Southpaw,182.88,185.42,185,0,8,0,2.53,0.47,1.3,2.57,0.39,8,2,37,5,0,0,4,2,9,0,15,Orthodox,185.42,182.88,185,36,38,0,-2,-2,-9,-1,-19,-3,3,-9,-2.5400000000000205,2.5400000000000205,2,0.91,-1.3,-0.9999999999999998,1,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,Blue,,,,,,,,,,,
Demian Maia,Gunnar Nelson,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,1.84,0.61,1.0,1.9,0.59,4,1,13,0,0,0,1,0,4,0,5,Switch,180.34,182.88,170,0,3,0,1.8,0.43,1.0,2.49,0.24,5,6,55,2,0,0,7,1,7,0,15,Southpaw,185.42,182.88,170,38,27,0,-2,-1,-10,-5,-42,-2,-1,-3,-5.0800000000000125,0.0,-11,0.04,0.0,-0.5900000000000003,1,12.0,6.0,,,,,,,,6.0,,,,,,,,,,,,,12.0,,,,,,Red,,,,,,,,,,,
Max Holloway,Jeremy Stephens,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,3.17,0.4,0.4,1.16,0.38,3,10,56,0,0,1,4,6,0,0,11,Orthodox,175.26,180.34,145,0,7,0,7.16,0.47,0.3,0.25,0.53,7,3,31,10,0,1,2,5,2,0,10,Orthodox,180.34,175.26,145,24,29,0,-6,-4,1,7,25,-10,1,-2,-5.0800000000000125,5.0800000000000125,5,-3.99,0.1,0.91,1,8.0,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,8.0,,,,Red,,,,,,,,,,,
Urijah Faber,Frankie Saenz,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,3,0,3.94,0.47,0.1,1.74,0.31,3,0,9,0,0,1,2,0,0,0,3,Orthodox,167.64,167.64,135,1,0,0,2.65,0.4,0.8,1.54,0.3,6,7,64,13,0,0,3,2,12,0,17,Orthodox,167.64,170.18,135,36,35,-1,3,-3,-14,-7,-55,-13,-2,-12,0.0,-2.539999999999992,-1,1.29,-0.7000000000000001,0.1999999999999999,1,13.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,13.0,,,Red,,,,,,,,,,,
Tecia Pennington,Jocelyn Jones-Lybarger,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,0,0,2.96,0.31,0.0,0.34,0.25,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,162.56,115,0,2,0,4.82,0.47,0.1,0.57,0.14,2,0,6,0,0,0,2,0,0,0,2,Orthodox,154.94,152.4,115,26,30,0,-2,-2,-2,0,-6,0,0,0,15.240000000000007,10.159999999999997,4,-1.8600000000000003,-0.1,-0.2299999999999999,1,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Warlley Alves,Colby Covington,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,3,0,3.81,0.38,0.2,3.64,0.42,3,0,7,4,0,0,1,1,1,0,3,Orthodox,180.34,182.88,170,0,3,0,3.04,0.48,0.8,1.22,0.5,3,0,8,1,0,0,1,0,2,0,3,Orthodox,180.34,182.88,185,24,27,0,0,0,0,0,-1,3,1,-1,0.0,0.0,3,0.77,-0.6000000000000001,2.42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Leonardo Santos,Kevin Lee,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,4,0,3.88,0.42,0.8,3.18,0.43,4,1,13,1,0,1,2,0,1,0,4,Orthodox,175.26,195.58,170,0,3,1,2.82,0.46,0.2,0.88,0.25,2,0,10,1,0,0,1,0,2,0,3,Orthodox,182.88,190.5,155,35,23,0,1,2,1,1,3,0,0,-1,-7.620000000000003,5.0800000000000125,-12,1.06,0.6000000000000001,2.3000000000000003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Joe Proctor,Magomed Mustafaev,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,2.59,0.58,0.4,3.31,0.5,1,0,2,0,0,0,0,1,0,0,1,Orthodox,172.72,180.34,155,0,1,0,3.39,0.36,1.8,0.0,0.0,2,2,13,0,0,0,1,2,1,0,4,Orthodox,177.8,182.88,155,30,27,0,0,-1,-3,-2,-11,0,-1,-1,-5.0800000000000125,-2.539999999999992,-3,-0.8000000000000003,-1.4,3.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
John Makdessi,Yancy Medeiros,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,4.36,0.37,0.7,0.33,0.5,2,3,12,0,0,0,1,1,2,0,4,Orthodox,177.8,190.5,155,1,0,0,5.52,0.49,0.0,0.0,0.0,3,4,23,0,0,0,3,3,0,0,6,Orthodox,172.72,172.72,155,30,28,0,0,-1,-2,-1,-11,0,-2,2,5.0800000000000125,17.78,-2,-1.1599999999999993,0.7,0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Court McGee,Marcio Alexandre Junior,,,,,2015-12-12,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,2,0,0,1.61,0.45,0.7,0.35,0.2,0,2,6,1,0,0,0,0,0,0,0,Southpaw,182.88,190.5,185,1,0,0,4.6,0.37,0.5,1.87,0.25,3,3,23,1,0,1,2,0,2,0,5,Orthodox,180.34,190.5,170,31,26,1,0,-3,-5,-1,-17,0,0,-2,2.539999999999992,0.0,-5,-2.99,0.1999999999999999,-1.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Rafael Dos Anjos,Donald Cerrone,,,,,2015-12-19,"Orlando, Florida, USA",USA,Red,True,Lightweight,MALE,5,0,8,0,4.41,0.46,1.2,1.16,0.33,8,6,63,3,0,0,8,5,8,0,21,Orthodox,185.42,185.42,155,0,4,0,3.48,0.47,0.6,1.95,0.35,5,5,48,3,0,0,8,3,2,0,13,Southpaw,172.72,177.8,170,31,32,0,4,3,8,1,15,0,2,6,12.700000000000015,7.620000000000003,1,0.9300000000000002,0.6,-0.79,1,2.0,0.0,,,,,,,,,0.0,,,,10.0,,,,,,,,,2.0,,,,,Red,,,,,,,,,,,
Junior Dos Santos,Alistair Overeem,,,,,2015-12-19,"Orlando, Florida, USA",USA,Blue,False,Heavyweight,MALE,3,0,2,0,3.67,0.64,0.8,1.42,0.55,11,11,54,3,0,0,4,13,8,0,25,Orthodox,193.04,203.2,265,0,1,0,4.49,0.47,0.1,0.3,0.5,9,2,34,5,0,0,3,8,0,0,11,Orthodox,193.04,195.58,238,31,35,0,1,2,14,9,20,-2,5,8,0.0,7.619999999999976,4,-0.8200000000000003,0.7000000000000001,1.12,1,9.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,Blue,,,,,,,,,,,
Michael Johnson,Nate Diaz,,,,,2015-12-19,"Orlando, Florida, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,4.57,0.45,1.3,1.05,0.3,5,9,56,3,0,1,1,4,10,0,16,Southpaw,182.88,193.04,170,1,0,0,4.23,0.39,0.0,0.61,0.4,4,5,33,1,0,0,5,3,0,0,8,Southpaw,177.8,185.42,155,29,30,0,0,1,8,4,23,2,1,10,5.079999999999984,7.619999999999976,1,0.3399999999999998,1.3,0.44,1,15.0,6.0,,,,,,,,,6.0,,,,,,,,,,,,,15.0,,,,,Red,,,,,,,,,,,
Randa Markos,Karolina Kowalkiewicz,,,,,2015-12-19,"Orlando, Florida, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,0,0,5.54,0.43,0.2,0.31,0.22,0,0,0,1,0,0,0,0,0,0,0,Orthodox,160.02,162.56,115,0,1,0,2.97,0.43,0.2,1.12,0.28,1,1,6,0,0,0,1,0,0,0,1,Orthodox,162.56,160.02,115,30,30,0,-1,-1,-1,-1,-6,1,0,0,-2.539999999999992,2.539999999999992,0,2.57,0.0,-0.81,1,,7.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Charles Oliveira,Myles Jury,,,,,2015-12-19,"Orlando, Florida, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,2.94,0.42,0.3,2.16,0.55,6,1,16,0,0,1,2,2,1,0,6,Orthodox,177.8,185.42,145,1,0,0,3.4,0.55,2.7,2.25,0.4,4,5,27,3,0,0,1,0,7,0,8,Orthodox,177.8,187.96,155,26,27,0,0,2,-2,-4,-11,-3,2,-6,0.0,-2.539999999999992,1,-0.4599999999999999,-2.4000000000000004,-0.0899999999999998,1,,7.0,,,,,,,,,,7.0,,,,,,,,,,,,9.0,,,,,Red,,,,,,,,,,,
CB Dollaway,Nate Marquardt,,,,,2015-12-19,"Orlando, Florida, USA",USA,Blue,False,Middleweight,MALE,3,2,0,0,2.71,0.49,0.8,1.87,0.51,4,9,49,3,0,0,4,5,3,0,12,Orthodox,182.88,187.96,185,2,0,0,2.65,0.47,1.2,3.55,0.54,3,7,31,1,0,1,4,2,2,0,9,Orthodox,187.96,193.04,185,32,36,0,0,1,3,2,18,2,3,1,-5.0800000000000125,-5.079999999999984,4,0.06,-0.3999999999999999,-1.6799999999999995,1,,12.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Sarah Kaufman,Valentina Shevchenko,,,,,2015-12-19,"Orlando, Florida, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,0,0,3.16,0.52,0.3,2.74,0.64,0,0,0,12,0,0,0,0,0,0,0,Southpaw,165.1,167.64,125,1,0,0,6.65,0.46,0.0,0.38,0.57,4,3,32,3,1,0,5,1,0,0,7,Orthodox,165.1,167.64,135,30,27,-1,0,-4,-7,-3,-32,9,-1,0,0.0,0.0,-3,-3.49,0.3,2.3600000000000003,1,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Josh Samman,Tamdan McCrory,,,,,2015-12-19,"Orlando, Florida, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,2.07,0.49,2.5,2.28,0.5,1,3,12,0,0,0,1,1,1,0,3,Switch,193.04,193.04,185,0,3,0,2.08,0.52,0.4,1.09,0.33,3,0,5,0,0,0,0,2,1,0,3,Orthodox,190.5,200.66,185,27,29,1,-3,-2,0,3,7,0,-1,0,2.539999999999992,-7.620000000000003,2,-0.0100000000000002,2.1,1.1899999999999995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Nik Lentz,Danny Castillo,,,,,2015-12-19,"Orlando, Florida, USA",USA,Red,False,Lightweight,MALE,3,3,0,0,2.57,0.42,0.2,2.95,0.38,3,9,50,0,0,2,5,5,0,0,12,Orthodox,175.26,180.34,155,1,0,1,3.44,0.47,1.2,3.3,0.32,4,4,41,0,0,1,6,1,1,0,9,Orthodox,172.72,172.72,145,31,36,2,0,-1,3,5,9,0,4,-1,2.539999999999992,7.620000000000003,5,-0.8700000000000001,-1.0,-0.3499999999999996,1,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Kamaru Usman,Leon Edwards,,,,,2015-12-19,"Orlando, Florida, USA",USA,Red,False,Welterweight,MALE,3,0,2,0,2.68,0.53,0.4,1.25,0.36,2,1,7,4,0,0,1,1,0,0,2,Southpaw,187.96,187.96,170,0,1,0,4.36,0.52,0.1,2.82,0.45,1,0,2,9,0,0,0,0,1,0,1,Switch,182.88,193.04,170,28,24,0,1,1,1,1,5,-5,1,-1,5.0800000000000125,-5.079999999999984,-4,-1.6800000000000002,0.3,-1.5699999999999998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Hayder Hassan,Vicente Luque,,,,,2015-12-19,"Orlando, Florida, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,5.05,0.51,0.7,0.99,0.53,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,1,0,0,2.11,0.46,0.0,0.0,0.0,1,1,4,1,0,0,0,1,0,0,1,,177.8,177.8,170,33,24,0,0,-1,-1,0,-1,-1,-1,0,2.539999999999992,12.699999999999989,-9,2.94,0.7,0.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
