RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Dooho Choi,Sam Sicilia,,,,,2015-11-28,"Seoul, South Korea",South Korea,Red,False,Featherweight,MALE,3,0,2,0,2.46,0.33,0.9,1.45,0.43,2,4,19,0,0,0,2,3,0,0,5,Orthodox,172.72,170.18,145,0,1,0,4.67,0.56,0.6,1.43,0.53,1,0,1,0,0,0,0,1,0,0,1,Orthodox,177.8,177.8,145,24,29,0,1,1,4,4,18,0,2,0,-5.0800000000000125,-7.620000000000003,5,-2.21,0.3,0.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Dongi Yang,Jake Collier,,,,,2015-11-28,"Seoul, South Korea",South Korea,Red,False,Middleweight,MALE,3,0,1,0,5.8,0.44,0.6,0.71,0.33,1,1,4,0,0,1,0,0,0,0,1,Orthodox,190.5,198.12,230,2,0,0,3.55,0.51,0.5,1.7,0.41,1,3,11,0,0,0,0,1,0,0,1,Southpaw,177.8,185.42,185,30,27,-2,1,0,0,-2,-7,0,-1,0,12.699999999999989,12.699999999999989,-3,2.25,0.0999999999999999,-0.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Yui Chul Nam,Mike de la Torre,,,,,2015-11-28,"Seoul, South Korea",South Korea,Blue,False,Featherweight,MALE,3,1,0,0,3.21,0.39,0.0,0.36,0.16,1,2,6,0,0,0,0,1,0,0,1,Orthodox,180.34,180.34,145,1,0,0,3.53,0.51,0.3,1.33,0.16,1,1,6,0,0,1,0,0,0,0,1,Orthodox,175.26,175.26,145,34,29,0,0,0,0,1,0,0,1,0,5.0800000000000125,5.0800000000000125,-5,-0.3199999999999998,-0.3,-0.97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Tae Hyun Bang,Leo Kuntz,,,,,2015-11-28,"Seoul, South Korea",South Korea,Red,False,Lightweight,MALE,3,1,0,0,1.68,0.32,0.7,1.99,0.25,0,1,2,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,1,0,0,2.72,0.38,0.5,0.49,0.33,1,2,7,0,0,0,0,1,0,0,1,Switch,175.26,180.34,155,32,32,0,0,-1,-1,-1,-5,0,-1,0,2.5400000000000205,-2.539999999999992,0,-1.0400000000000005,0.1999999999999999,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Seo Hee Ham,Cortney Casey,,,,,2015-11-28,"Seoul, South Korea",South Korea,Red,False,Women's Strawweight,FEMALE,3,1,0,0,4.29,0.39,0.5,0.39,0.31,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,125,1,0,0,4.2,0.39,0.2,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,157.48,157.48,115,28,28,0,0,0,0,0,0,0,0,0,12.700000000000015,12.700000000000015,0,0.0899999999999998,0.3,0.39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Yao Zhikui,Fredy Serrano,,,,,2015-11-28,"Seoul, South Korea",South Korea,Blue,False,Flyweight,MALE,3,0,1,0,1.58,0.26,0.0,2.84,0.25,1,0,3,0,0,0,0,1,0,0,1,Orthodox,160.02,165.1,125,0,1,0,1.44,0.21,0.0,0.66,0.16,1,1,6,0,0,1,0,0,0,0,1,Orthodox,165.1,162.56,125,24,36,0,0,0,0,-1,-3,0,1,0,-5.079999999999984,2.539999999999992,12,0.1400000000000001,0.0,2.18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Guangyou Ning,Marco Beltran,,,,,2015-11-28,"Seoul, South Korea",South Korea,Blue,False,Bantamweight,MALE,3,0,1,0,2.07,0.37,0.2,0.7,0.5,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,125,0,2,0,2.66,0.41,0.3,1.09,0.5,2,0,5,1,0,0,1,1,0,0,2,Southpaw,162.56,162.56,145,33,29,0,-1,-1,-1,0,-2,-1,-1,0,10.159999999999997,12.699999999999989,-4,-0.5900000000000003,-0.0999999999999999,-0.3900000000000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Dominique Steele,Dong Hyun Ma,,,,,2015-11-28,"Seoul, South Korea",South Korea,Red,False,Welterweight,MALE,3,0,0,0,2.84,0.41,0.0,1.27,0.53,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,1,0,0,2.32,0.49,0.0,2.95,0.42,1,1,4,0,0,0,1,0,0,0,1,Orthodox,177.8,187.96,170,27,27,-1,0,-1,-1,-1,-4,0,0,0,2.539999999999992,-10.159999999999997,0,0.52,0.0,-1.6800000000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Rose Namajunas,Paige VanZant,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,5,0,3,0,3.35,0.52,1.0,1.27,0.33,3,0,9,0,0,0,1,1,1,0,3,Orthodox,162.56,165.1,115,0,1,0,3.71,0.42,0.4,1.46,0.5,1,1,4,7,0,0,0,0,1,0,1,Orthodox,165.1,165.1,125,23,21,0,2,2,2,-1,5,-7,1,0,-2.539999999999992,0.0,-2,-0.3599999999999999,0.6,-0.1899999999999999,1,7.0,3.0,,,3.0,,,,,,,,,,,,,7.0,,,,,,,,,,,Red,,,,,,,,,,,
Jim Miller,Michael Chiesa,,,,,2015-12-10,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,1.81,0.39,1.1,3.3,0.48,2,2,15,1,0,0,2,0,3,0,5,Southpaw,185.42,190.5,170,0,1,0,2.99,0.42,1.7,1.52,0.44,7,5,47,0,0,1,5,2,6,0,14,Southpaw,172.72,180.34,155,32,28,0,0,-5,-9,-3,-32,1,-2,-3,12.700000000000015,10.159999999999997,-4,-1.1800000000000002,-0.5999999999999999,1.7799999999999998,1,,14.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
